node, distance_to, predecessor
0, 0, 0
1, 14, 121
2, 20, 192
3, 19, 249
4, 19, 158
5, 16, 236
6, 15, 880
7, 20, 529
8, 18, 44
9, 20, 674
10, 14, 44
11, 13, 400
12, 13, 419
13, 17, 450
14, 15, 41
15, 22, 209
16, 16, 282
17, 19, 18
18, 12, 420
19, 15, 362
20, 9, 480
21, 15, 10
22, 21, 20
23, 19, 249
24, 21, 455
25, 30, 409
26, 23, 13
27, 15, 93
28, 13, 41
29, 17, 438
30, 16, 27
31, 17, 282
32, 19, 116
33, 18, 438
34, 20, 37
35, 14, 151
36, 26, 107
37, 18, 338
38, 14, 409
39, 20, 339
40, 22, 533
41, 12, 142
42, 13, 329
43, 27, 499
44, 13, 405
45, 20, 272
46, 19, 283
47, 16, 361
48, 19, 76
49, 41, 71
50, 22, 217
51, 14, 172
52, 13, 314
53, 31, 182
54, 14, 438
55, 26, 305
56, 19, 6
57, 15, 131
58, 14, 166
59, 10, 89
60, 13, 172
61, 17, 64
62, 16, 114
63, 12, 420
64, 9, 400
65, 17, 426
66, 26, 329
67, 18, 160
68, 13, 121
69, 10, 260
70, 31, 180
71, 22, 121
72, 16, 21
73, 6, 0
74, 4, 223
75, 18, 494
76, 15, 113
77, 12, 87
78, 16, 420
79, 15, 51
80, 10, 20
81, 14, 42
82, 15, 549
83, 14, 340
84, 18, 86
85, 22, 147
86, 14, 44
87, 10, 280
88, 8, 0
89, 8, 183
90, 22, 183
91, 22, 11
92, 12, 20
93, 14, 166
94, 14, 206
95, 16, 181
96, 12, 400
97, 16, 434
98, 23, 708
99, 23, 420
100, 18, 86
101, 37, 97
102, 25, 516
103, 24, 64
104, 18, 82
105, 7, 223
106, 13, 420
107, 13, 427
108, 18, 329
109, 42, 51
110, 29, 91
111, 44, 84
112, 26, 896
113, 10, 183
114, 9, 89
115, 11, 184
116, 18, 74
117, 21, 409
118, 16, 651
119, 30, 96
120, 40, 74
121, 12, 269
122, 26, 342
123, 15, 160
124, 17, 424
125, 20, 5
126, 16, 131
127, 15, 184
128, 15, 211
129, 16, 11
130, 10, 155
131, 13, 87
132, 17, 405
133, 11, 114
134, 24, 554
135, 13, 96
136, 18, 437
137, 18, 21
138, 23, 481
139, 20, 592
140, 19, 409
141, 17, 754
142, 11, 74
143, 12, 133
144, 23, 254
145, 14, 434
146, 32, 615
147, 15, 105
148, 14, 401
149, 33, 150
150, 25, 160
151, 12, 142
152, 16, 105
153, 16, 105
154, 15, 155
155, 9, 105
156, 28, 179
157, 18, 6
158, 16, 107
159, 17, 11
160, 14, 280
161, 13, 419
162, 18, 412
163, 15, 166
164, 17, 63
165, 16, 494
166, 13, 420
167, 18, 60
168, 10, 183
169, 13, 172
170, 17, 338
171, 25, 115
172, 11, 168
173, 13, 405
174, 19, 371
175, 25, 665
176, 23, 413
177, 29, 413
178, 27, 231
179, 19, 160
180, 19, 533
181, 11, 155
182, 22, 393
183, 7, 223
184, 10, 329
185, 23, 52
186, 21, 254
187, 11, 80
188, 17, 74
189, 15, 81
190, 13, 434
191, 22, 214
192, 18, 411
193, 19, 57
194, 13, 63
195, 16, 160
196, 16, 280
197, 20, 820
198, 15, 168
199, 16, 908
200, 18, 776
