node, distance_to, predecessor
0, 0, 0
1, 55, 0
2, 60, 0
3, 72, 0
4, 85, 0
5, 61, 0
6, 86, 0
7, 55, 0
8, 85, 0
9, 43, 0
10, 63, 0
11, 228, 4300
12, 261, 11
13, 211, 160
14, 232, 509
15, 227, 631
16, 251, 11
17, 166, 179
18, 244, 3341
19, 323, 11
20, 202, 2396
21, 184, 2392
22, 4294967295, 0
23, 193, 2870
24, 4294967295, 0
25, 304, 5277
26, 4294967295, 0
27, 405, 521
28, 344, 3997
29, 267, 3027
30, 243, 2087
31, 91, 179
32, 150, 821
33, 368, 2485
34, 241, 135
35, 313, 979
36, 403, 6078
37, 396, 33
38, 158, 1287
39, 214, 1890
40, 435, 33
41, 280, 469
42, 344, 3045
43, 327, 4734
44, 4294967295, 0
45, 181, 2070
46, 4294967295, 0
47, 324, 4458
48, 272, 5197
49, 166, 355
50, 169, 2974
51, 168, 250
52, 4294967295, 0
53, 256, 989
54, 293, 3207
55, 206, 1402
56, 233, 2024
57, 176, 805
58, 271, 55
59, 213, 2399
60, 212, 1923
61, 268, 55
62, 136, 252
63, 179, 2181
64, 136, 250
65, 230, 5608
66, 4294967295, 0
67, 287, 1305
68, 384, 4628
69, 202, 1653
70, 4294967295, 0
71, 177, 2080
72, 4294967295, 0
73, 267, 2821
74, 4294967295, 0
75, 176, 3346
76, 247, 3929
77, 236, 4122
78, 224, 3822
79, 253, 76
80, 228, 531
81, 173, 335
82, 271, 76
83, 260, 1139
84, 341, 76
85, 220, 1533
86, 206, 2133
87, 262, 606
88, 311, 87
89, 294, 87
90, 351, 87
91, 181, 64
92, 201, 21
93, 291, 131
94, 186, 2376
95, 280, 87
96, 181, 1402
97, 186, 3309
98, 4294967295, 0
99, 322, 1025
100, 209, 331
101, 198, 49
102, 147, 64
103, 250, 4533
104, 405, 3369
105, 321, 3433
106, 146, 64
107, 228, 4189
108, 98, 390
109, 4294967295, 0
110, 240, 133
111, 270, 5981
112, 228, 4533
113, 219, 4068
114, 94, 250
115, 268, 707
116, 189, 3715
117, 224, 547
118, 237, 2293
119, 119, 559
120, 432, 3244
121, 70, 5
122, 77, 353
123, 91, 179
124, 91, 9
125, 89, 179
126, 139, 919
127, 108, 753
128, 64, 5
129, 121, 753
130, 256, 1382
131, 213, 4695
132, 104, 125
133, 212, 129
134, 289, 130
135, 195, 3364
136, 249, 2050
137, 275, 1323
138, 225, 988
139, 258, 130
140, 223, 1522
141, 216, 335
142, 195, 1786
143, 130, 4180
144, 153, 1458
145, 89, 856
146, 161, 352
147, 70, 9
148, 120, 149
149, 95, 1412
150, 240, 1255
151, 158, 1945
152, 156, 667
153, 204, 151
154, 209, 151
155, 218, 151
156, 254, 151
157, 244, 151
158, 189, 2336
159, 204, 151
160, 168, 151
161, 254, 151
162, 253, 1141
163, 245, 2710
164, 295, 2569
165, 183, 2748
166, 293, 162
167, 240, 2868
168, 307, 162
169, 253, 6266
170, 291, 1972
171, 233, 2581
172, 239, 1143
173, 247, 1228
174, 128, 369
175, 118, 127
176, 103, 7
177, 62, 9
178, 172, 1945
179, 66, 1412
180, 144, 1245
181, 255, 998
182, 168, 2719
183, 194, 1487
184, 196, 3771
185, 293, 181
186, 293, 181
187, 293, 181
188, 288, 181
189, 330, 181
190, 243, 4402
191, 184, 2043
192, 4294967295, 0
193, 243, 509
194, 4294967295, 0
195, 298, 3699
196, 318, 5440
197, 259, 1636
198, 194, 864
199, 194, 2115
200, 274, 197
201, 319, 197
202, 261, 4204
203, 280, 450
204, 281, 197
205, 227, 709
206, 269, 5716
207, 315, 197
208, 186, 1947
209, 283, 208
210, 273, 208
211, 203, 208
212, 191, 208
213, 277, 208
214, 212, 208
215, 161, 2358
216, 231, 208
217, 275, 208
218, 265, 380
219, 163, 129
220, 293, 218
221, 270, 225
222, 168, 125
223, 255, 4890
224, 214, 1573
225, 269, 218
226, 329, 218
227, 205, 1987
228, 279, 5277
229, 267, 1139
230, 152, 4159
231, 280, 1750
232, 337, 228
233, 308, 228
234, 293, 1610
235, 219, 5276
236, 4294967295, 0
237, 4294967295, 0
238, 159, 2037
239, 4294967295, 0
240, 272, 3147
241, 225, 926
242, 4294967295, 0
243, 238, 5982
244, 347, 2847
245, 4294967295, 0
246, 104, 145
247, 117, 9
248, 89, 9
249, 65, 9
250, 77, 179
251, 57, 9
252, 45, 9
253, 200, 938
254, 231, 253
255, 207, 178
256, 250, 2338
257, 201, 253
258, 167, 4
259, 260, 253
260, 160, 1336
261, 142, 390
262, 157, 756
263, 228, 3120
264, 107, 1412
265, 158, 145
266, 111, 367
267, 252, 263
268, 191, 334
269, 280, 263
270, 293, 1356
271, 266, 5645
272, 291, 2471
273, 329, 270
274, 241, 3014
275, 366, 270
276, 343, 3705
277, 357, 270
278, 361, 270
279, 266, 1943
280, 294, 279
281, 214, 1033
282, 209, 2226
283, 281, 279
284, 343, 279
285, 257, 146
286, 230, 3771
287, 291, 279
288, 275, 3409
289, 233, 2524
290, 165, 864
291, 230, 2181
292, 258, 5221
293, 279, 289
294, 260, 3228
295, 194, 977
296, 264, 3310
297, 276, 289
298, 235, 4189
299, 319, 289
300, 356, 4813
301, 277, 2906
302, 367, 5187
303, 200, 1534
304, 364, 300
305, 404, 3528
306, 439, 300
307, 232, 2181
308, 223, 3117
309, 215, 2285
310, 4294967295, 0
311, 275, 5074
312, 223, 3921
313, 244, 1390
314, 326, 978
315, 215, 4324
316, 4294967295, 0
317, 4294967295, 0
318, 273, 3207
319, 4294967295, 0
320, 4294967295, 0
321, 228, 3616
322, 238, 1675
323, 218, 629
324, 130, 108
325, 235, 1209
326, 181, 248
327, 199, 2362
328, 234, 321
329, 268, 886
330, 231, 3524
331, 117, 1287
332, 193, 331
333, 175, 331
334, 154, 331
335, 163, 331
336, 168, 331
337, 182, 331
338, 155, 331
339, 143, 331
340, 309, 1626
341, 232, 303
342, 219, 5276
343, 243, 531
344, 240, 2281
345, 242, 2961
346, 250, 4295
347, 280, 2069
348, 152, 2039
349, 393, 340
350, 256, 3963
351, 124, 249
352, 132, 351
353, 76, 5
354, 167, 351
355, 165, 351
356, 135, 351
357, 212, 351
358, 181, 351
359, 168, 351
360, 353, 3690
361, 285, 1984
362, 415, 360
363, 240, 509
364, 165, 6071
365, 120, 108
366, 4294967295, 0
367, 102, 177
368, 67, 177
369, 112, 717
370, 207, 4191
