test_name,cpu_time_ns,cpu_time_spread,cpu_status,gpu_time_ns,gpu_time_spread,gpu_status,hybrid_time_ns,hybrid_time_spread,hybrid_status,status
Email-Eu-core.txt,9977481.0,1.7,NA,356358885.0,3.4,NA,343206819.0,0.55,NA,NA
Wiki-Vote.txt,24473259.0,0.96,NA,360145995.0,0.53,NA,369826278.0,0.77,NA,NA
email-Eu-core-SIMPLE.txt,2139258.0,5.9,NA,340308334.0,0.43,NA,345745492.0,1.56,NA,NA
p2p-Gnutella04.txt,22204488.0,4.38,NA,339737353.0,0.79,NA,365599167.0,0.43,NA,NA
p2p-Gnutella08.txt,13151712.0,1.38,NA,347854776.0,0.46,NA,347804630.0,0.43,NA,NA
p2p-Gnutella30.txt,50977997.0,0.62,NA,357215400.0,0.5,NA,379237781.0,0.54,NA,NA
simple-graph.txt,2554402.0,0.97,NA,335146026.0,0.38,NA,333777452.0,0.51,NA,NA
test-graph.txt,2484655.0,1.21,NA,333268450.0,0.47,NA,335032326.0,0.49,NA,NA
test-graph2.txt,2594211.0,0.94,NA,336124655.0,0.45,NA,332797645.0,0.35,NA,NA
test-graph3.txt,2503907.0,1.35,NA,333895853.0,0.62,NA,333729831.0,0.81,NA,NA
